 ,Area,Mean,Min,Max,Angle
1,0,0,0,0,78.179
2,0,0,0,0,83.774
3,0,0,0,0,88.652
4,0,0,0,0,94.289
5,0,0,0,0,102.926
6,0,0,0,0,108.338
7,0,0,0,0,124.735
8,0,0,0,0,135.516
9,0,0,0,0,147.355
10,0,0,0,0,150.317
11,0,0,0,0,155.802
12,0,0,0,0,155.868
13,0,0,0,0,159.555
14,0,0,0,0,76.122
15,0,0,0,0,80.740
16,0,0,0,0,85.764
17,0,0,0,0,91.660
18,0,0,0,0,98.673
19,0,0,0,0,108.658
20,0,0,0,0,128.660
21,0,0,0,0,139.399
22,0,0,0,0,143.686
23,0,0,0,0,151.390
24,0,0,0,0,151.876
25,0,0,0,0,155.273
26,0,0,0,0,156.161
