 ,Area,Mean,Min,Max,Angle
1,0,0,0,0,121.535
2,0,0,0,0,117.848
3,0,0,0,0,122.989
4,0,0,0,0,118.474
5,0,0,0,0,139.044
6,0,0,0,0,127.304
7,0,0,0,0,140.618
8,0,0,0,0,131.517
9,0,0,0,0,148.151
10,0,0,0,0,140.029
11,0,0,0,0,154.418
12,0,0,0,0,145.784
13,0,0,0,0,160.017
14,0,0,0,0,155.225
15,0,0,0,0,163.899
16,0,0,0,0,161.975
17,0,0,0,0,171.649
18,0,0,0,0,167.005
19,0,0,0,0,174.710
20,0,0,0,0,172.569
21,0,0,0,0,176.292
22,0,0,0,0,175.066
23,0,0,0,0,180.000
24,0,0,0,0,178.187
25,0,0,0,0,180.000
26,0,0,0,0,180.000
