 ,Area,Mean,Min,Max,Angle
1,0,0,0,0,86.367
2,0,0,0,0,85.030
3,0,0,0,0,82.278
4,0,0,0,0,69.075
5,0,0,0,0,52.306
6,0,0,0,0,42.879
7,0,0,0,0,39.472
8,0,0,0,0,33.690
9,0,0,0,0,18.435
10,0,0,0,0,14.931
11,0,0,0,0,13.707
12,0,0,0,0,12.339
13,0,0,0,0,5.389
14,0,0,0,0,0.000
15,0,0,0,0,91.685
16,0,0,0,0,89.029
17,0,0,0,0,83.884
18,0,0,0,0,76.551
19,0,0,0,0,55.954
20,0,0,0,0,55.923
21,0,0,0,0,44.444
22,0,0,0,0,33.734
23,0,0,0,0,26.175
24,0,0,0,0,21.801
25,0,0,0,0,17.961
26,0,0,0,0,13.241
27,0,0,0,0,8.489
28,0,0,0,0,0.289
