Tiempo,Con Grafeno,Sin Grafeno,,,Tiempo,Sin grafeno,Con grafeno,
0,91.685,86.367,,,0,101.821,103.878,
120,89.029,85.03,,,120,96.226,99.26,
240,83.884,82.278,,,240,91.348,94.236,
360,76.551,69.075,,,360,85.711,88.34,
480,55.954,52.306,,,480,77.074,81.327,
600,55.923,42.879,Paladio,,600,71.662,71.342,
720,44.444,39.472,,,720,55.265,51.34,Cobre
840,33.734,33.69,,,840,44.484,40.601,
960,26.175,18.435,,,960,32.645,36.314,
1080,21.801,14.931,,,1080,29.683,28.61,
1200,17.961,13.707,,,1200,24.198,28.124,
1320,13.241,12.339,,,1320,24.132,24.727,
1440,8.489,5.389,,,1440,20.445,23.839,
,,,,,,,,
0,91.488,76.443,,,0,85.515,88.898,
150,89.094,73.084,,,150,75.379,83.66,
300,78.681,70.133,,,300,65.727,79.216,
450,72.719,58.935,,,450,61.631,75.426,
600,64.274,54.205,,,600,59.036,68.875,
750,56.489,50.363,Silicio,,750,55.491,60.945,
900,51.305,45.509,,,900,52.943,56.004,Cobre 2
1050,49.261,39.806,,,1050,48.18,43.727,
1200,47.726,35.538,,,1200,46.909,38.784,
1350,44.444,29.275,,,1350,45,38.047,
1500,41.285,18.435,,,1500,43.755,37.02,
1650,26.565,0,,,1650,45.659,36.209,
,,,,,1800,45.69,31.799,
,,,,,1950,37.093,25.253,
,,,,,2100,25.463,8.13,
,,,,,,,,
,,,,,,,,
0,0.069882871758336,0.076562303847347,,,0,0.057250453555116,0.054730418658777,
120,0.073220136179668,0.078237656964014,,,120,0.064191565730303,0.060414132490724,
240,0.079671005188223,0.081674401375044,,,240,0.070306209509527,0.066681733406634,
360,0.088745741827207,0.097714482404173,,,360,0.077384684134335,0.074085725699073,
480,0.112309798838528,0.116023980967077,,,480,0.088105854643814,0.082857239042369,
600,0.112342071216826,0.124761048970155,Paladio,,600,0.094652789017393,0.095034136543893,Cobre
720,0.123403331961765,0.127579344314002,Trabajo,,720,0.113024277820796,0.116978231577924,Trabajo
840,0.131876980153729,0.131907668261728,,,840,0.123368122953503,0.126666716332785,
960,0.136616466781836,0.140305177122682,,,960,0.132626087109513,0.130016419349932,
1080,0.138850512850658,0.141569050726902,,,1080,0.134552050685821,0.135208757848732,
1200,0.140491197874912,0.141949452780635,,,1200,0.137673678573347,0.13549892339802,
1320,0.142085897939875,0.14233682469012,,,1320,0.137707630568963,0.137398403623694,
1440,0.143211184020332,0.143681760990327,,,1440,0.139464571146692,0.137857303536486,
,,,,,,,,
0,0.07013033424038,0.088877707085175,,,0,0.073384728662892,0.077630263249998,
150,0.073138465732436,0.09294979500129,,,150,0.079950830396073,0.090174529817273,
300,0.086131534867055,0.096468330722616,,,300,0.085471704067355,0.101598107346256,
450,0.093388193788465,0.109152732148469,,,450,0.09011737438654,0.106210670673416,
600,0.10325289137079,0.114111856374446,,,600,0.097949077316046,0.109043956741111,
750,0.111750989020144,0.117930343143316,Silicio,,750,0.106966725940569,0.112790569203038,Cobre 2
900,0.117012567495895,0.122457399734493,Trabajo,,900,0.112257721754425,0.115387865129171,Trabajo
1050,0.118988229484631,0.127311587082006,,,1050,0.124030187638726,0.120009070789234,
1200,0.120432730340388,0.130588574583459,,,1200,0.12812492990418,0.121187453157325,
1350,0.123403331961765,0.134804356040708,,,1350,0.128700393012401,0.122911688245431,
1500,0.126103456496789,0.140305177122682,,,1500,0.129486627959261,0.124005860165596,
1650,0.136398786512728,0.144,,,1650,0.130094462164851,0.122322761679704,
,,,,,1800,0.133192936077916,0.122294893445226,
,,,,,1950,0.137119162257186,0.129431348541418,
,,,,,2100,0.143276381733392,0.137006143780884,
